"Country or Area","Year","Value","Value Footnotes"
"Albania","2014","13370191506.0031",""
"Albania","2013","12916669735.6928",""
"Albania","2012","12344529628.0617",""
"Albania","2011","12890866742.6533",""
"Albania","2010","11926957254.6288",""
"Albania","2009","12044208085.864",""
"Albania","2008","12881353507.8539",""
"Albania","2007","10701011524.0982",""
"Albania","2006","9132558096.86514",""
"Albania","2005","8376668351.83644",""
"Albania","2004","7464446950.18143",""
"Albania","2003","5652325081.83146",""
"Albania","2002","4449373455.28143",""
"Albania","2001","4091020249.1995",""
"Albania","2000","3686649386.83962",""
"Albania","1999","3434402453.29471",""
"Albania","1998","2727745453.16221",""
"Albania","1997","2196223713.70143",""
"Albania","1996","3013217853.03299",""
"Albania","1995","2424498953.26963",""
"Albania","1994","1985673026.02143",""
"Albania","1993","1228071037.84446",""
"Albania","1992","709452572.338241",""
"Albania","1991","1139166676.01094",""
"Albania","1990","2101624962.5",""
"Albania","1989","2335124987.5",""
"Albania","1988","2126000000",""
"Albania","1987","2156624900",""
"Albania","1986","2173750012.5",""
"Albania","1985","1965384586.2409",""
"Albania","1984","1924242453.00793",""
"Austria","2014","436343622435.169",""
"Austria","2013","428321937480.432",""
"Austria","2012","407575109732.57",""
"Austria","2011","429072838476.508",""
"Austria","2010","389679337748.344",""
"Austria","2009","397594331758.822",""
"Austria","2008","427611542405.156",""
"Austria","2007","386458937859.294",""
"Austria","2006","334309371471.584",""
"Austria","2005","314649048625.793",""
"Austria","2004","299857213806.804",""
"Austria","2003","260721444695.26",""
"Austria","2002","212970732166.384",""
"Austria","2001","196953646532.438",""
"Austria","2000","196421687857.011",""
"Austria","1999","216725229064.564",""
"Austria","1998","217683637172.076",""
"Austria","1997","212323486300.598",""
"Austria","1996","236720561476.475",""
"Austria","1995","240457622492.152",""
"Austria","1994","203044934345.26",""
"Austria","1993","189921093103.04",""
"Austria","1992","194608189331.33",""
"Austria","1991","173375486152.033",""
"Austria","1990","166062326031.708",""
"Austria","1989","132785127405.096",""
"Austria","1988","133018165607.935",""
"Austria","1987","123869286025.25",""
"Austria","1986","98797566471.3835",""
"Austria","1985","69219606278.2655",""
"Austria","1984","67821539096.3483",""
"Austria","1983","71947295848.0159",""
"Austria","1982","71103573445.1884",""
"Austria","1981","70863141524.1058",""
"Austria","1980","81861199744.7352",""
"Austria","1979","73759135357.6943",""
"Austria","1978","61902776461.6697",""
"Austria","1977","51421613520.9391",""
"Austria","1976","42856485387.7426",""
"Austria","1975","39962708382.7131",""
"Austria","1974","35104534746.7609",""
"Austria","1973","29444374165.4368",""
"Austria","1972","22006488481.4572",""
"Austria","1971","17815453243.7493",""
"Austria","1970","15335961894.6811",""
"Austria","1969","13582798556.2404",""
"Austria","1968","12440625312.8685",""
"Austria","1967","11579431668.9165",""
"Austria","1966","10887682273.1014",""
"Austria","1965","9994070615.85997",""
"Austria","1964","9169983885.71185",""
"Austria","1963","8374175257.73075",""
"Austria","1962","7756110210.11966",""
"Austria","1961","7311749633.36229",""
"Austria","1960","6592693841.18495",""
"Belarus","2014","76139250364.5185",""
"Belarus","2013","73097619636.8209",""
"Belarus","2012","63615445566.8483",""
"Belarus","2011","59734593904.6402",""
"Belarus","2010","55220932613.958",""
"Belarus","2009","49208656976.0389",""
"Belarus","2008","60752177438.8895",""
"Belarus","2007","45275747860.6442",""
"Belarus","2006","36961821893.6976",""
"Belarus","2005","30210091836.8294",""
"Belarus","2004","23141587717.7633",""
"Belarus","2003","17825436034.5366",""
"Belarus","2002","14594925392.9691",""
"Belarus","2001","12354820143.8849",""
"Belarus","2000","12736856485.1068",""
"Belarus","1999","12138485328.6267",""
"Belarus","1998","15222014828.3039",""
"Belarus","1997","14128412417.193",""
"Belarus","1996","14756861538.4615",""
"Belarus","1995","13972637603.2102",""
"Belarus","1994","14931599418.4226",""
"Belarus","1993","16280372553.0518",""
"Belarus","1992","17022180272.211",""
"Belarus","1991","17813389815.004",""
"Belarus","1990","17369598958.1159",""
"Belgium","2014","533382785676.064",""
"Belgium","2013","524778837629.771",""
"Belgium","2012","498746230593.886",""
"Belgium","2011","528099805393.383",""
"Belgium","2010","484433112582.781",""
"Belgium","2009","485833564879.133",""
"Belgium","2008","520090815878.131",""
"Belgium","2007","472309061045.716",""
"Belgium","2006","410698783088.697",""
"Belgium","2005","386954358910.583",""
"Belgium","2004","370445741246.586",""
"Belgium","2003","318573363431.151",""
"Belgium","2002","258389798607.19",""
"Belgium","2001","237397762863.535",""
"Belgium","2000","237336465819.053",""
"Belgium","1999","259666524611.123",""
"Belgium","1998","259822182707.268",""
"Belgium","1997","254099007668.02",""
"Belgium","1996","280790879478.827",""
"Belgium","1995","289122879036.672",""
"Belgium","1994","245817096696.407",""
"Belgium","1993","225577891791.045",""
"Belgium","1992","235676160602.258",""
"Belgium","1991","211312935617.247",""
"Belgium","1990","206113954611.299",""
"Belgium","1989","164846642096.642",""
"Belgium","1988","162917388919.364",""
"Belgium","1987","149963587250.135",""
"Belgium","1986","120475979772.44",""
"Belgium","1985","86596915551.3282",""
"Belgium","1984","83667062273.1081",""
"Belgium","1983","87516370808.6785",""
"Belgium","1982","92446759668.0205",""
"Belgium","1981","105128965667.101",""
"Belgium","1980","127312456890.606",""
"Belgium","1979","116758530544.854",""
"Belgium","1978","101632253106.187",""
"Belgium","1977","83155543050.0844",""
"Belgium","1976","71384848484.8485",""
"Belgium","1975","65928375562.1367",""
"Belgium","1974","56246582435.7912",""
"Belgium","1973","47925688263.2995",""
"Belgium","1972","37351205205.7557",""
"Belgium","1971","29935284927.2264",""
"Belgium","1970","26807906413.8766",""
"Belgium","1969","23710735894.7022",""
"Belgium","1968","21376353113.475",""
"Belgium","1967","19992040788.4593",""
"Belgium","1966","18651883472.4808",""
"Belgium","1965","17371457607.9374",""
"Belgium","1964","15960106680.6732",""
"Belgium","1963","14260017387.0492",""
"Belgium","1962","13264015675.3193",""
"Belgium","1961","12400145221.595",""
"Belgium","1960","11658722590.99",""
"Bosnia and Herzegovina","2014","18344278252.6116",""
"Bosnia and Herzegovina","2013","17851326454.4159",""
"Bosnia and Herzegovina","2012","16906005781.1063",""
"Bosnia and Herzegovina","2011","18318439121.4727",""
"Bosnia and Herzegovina","2010","16847493058.8474",""
"Bosnia and Herzegovina","2009","17264893103.2034",""
"Bosnia and Herzegovina","2008","18711890353.5051",""
"Bosnia and Herzegovina","2007","15441062281.3156",""
"Bosnia and Herzegovina","2006","12550175101.0198",""
"Bosnia and Herzegovina","2005","10903626824.2505",""
"Bosnia and Herzegovina","2004","10022840634.9206",""
"Bosnia and Herzegovina","2003","8370020196.19158",""
"Bosnia and Herzegovina","2002","6651226179.01829",""
"Bosnia and Herzegovina","2001","5748990554.79945",""
"Bosnia and Herzegovina","2000","5505984455.95855",""
"Bosnia and Herzegovina","1999","4685729738.56209",""
"Bosnia and Herzegovina","1998","4116699576.17583",""
"Bosnia and Herzegovina","1997","3671816537.75935",""
"Bosnia and Herzegovina","1996","2786045391.91109",""
"Bosnia and Herzegovina","1995","1866572973.11395",""
"Bosnia and Herzegovina","1994","1255802465.43943",""
"Bulgaria","2014","55734676434.6764",""
"Bulgaria","2013","54479873099.8914",""
"Bulgaria","2012","52591569645.2037",""
"Bulgaria","2011","55765057234.2695",""
"Bulgaria","2010","48669060511.7098",""
"Bulgaria","2009","50161403995.166",""
"Bulgaria","2008","53316403410.3657",""
"Bulgaria","2007","43637701889.4332",""
"Bulgaria","2006","33649637657.9234",""
"Bulgaria","2005","29299967875.0211",""
"Bulgaria","2004","25919754936.1945",""
"Bulgaria","2003","21101364344.6644",""
"Bulgaria","2002","16343311506.9812",""
"Bulgaria","2001","14303810794.543",""
"Bulgaria","2000","13353530538.0878",""
"Bulgaria","1999","13659823859.9893",""
"Bulgaria","1998","14631307232.6115",""
"Bulgaria","1997","11195830236.5819",""
"Bulgaria","1996","10110256626.4722",""
"Bulgaria","1995","13069095617.8448",""
"Bulgaria","1994","9704878270.8034",""
"Bulgaria","1993","10831998208.3172",""
"Bulgaria","1992","10371900826.4463",""
"Bulgaria","1991","10943548387.0968",""
"Bulgaria","1990","20726301369.863",""
"Bulgaria","1989","21746813186.8132",""
"Bulgaria","1988","23002459508.0984",""
"Bulgaria","1987","28429027237.3541",""
"Bulgaria","1986","20261212477.9282",""
"Bulgaria","1985","17562122844.8276",""
"Bulgaria","1984","17411159978.0099",""
"Bulgaria","1983","16959385665.529",""
"Bulgaria","1982","19804095563.1399",""
"Bulgaria","1981","20056236481.615",""
"Bulgaria","1980","20039627039.627",""
"Croatia","2014","57222574023.1725",""
"Croatia","2013","57868674297.5337",""
"Croatia","2012","56485308445.7207",""
"Croatia","2011","62236755927.319",""
"Croatia","2010","59665514732.63",""
"Croatia","2009","62636688809.4021",""
"Croatia","2008","70452887537.9939",""
"Croatia","2007","60082020691.5836",""
"Croatia","2006","50436294494.5014",""
"Croatia","2005","45416076680.8707",""
"Croatia","2004","41574530815.5047",""
"Croatia","2003","34658113497.39",""
"Croatia","2002","26878499206.0165",""
"Croatia","2001","23289671102.3197",""
"Croatia","2000","21774273832.1031",""
"Croatia","1999","23386945596.6928",""
"Croatia","1998","25432144406.2043",""
"Croatia","1997","23822087053.2091",""
"Croatia","1996","23678012697.3612",""
"Croatia","1995","22387561845.2244",""
"Cyprus","2014","23226158986.1653",""
"Cyprus","2013","24057251748.5613",""
"Cyprus","2012","24940600822.1062",""
"Cyprus","2011","27089174646.3239",""
"Cyprus","2010","25247424010.9811",""
"Cyprus","2009","25593262400.8645",""
"Cyprus","2008","27493064742.3573",""
"Cyprus","2007","23716042497.1344",""
"Cyprus","2006","19866878478.6748",""
"Cyprus","2005","18270009451.3257",""
"Cyprus","2004","17164625000",""
"Cyprus","2003","14445240090.6002",""
"Cyprus","2002","11345759615.3846",""
"Cyprus","2001","10328979963.5701",""
"Cyprus","2000","9929632422.24317",""
"Cyprus","1999","10443559870.5502",""
"Cyprus","1998","10209966063.3484",""
"Cyprus","1997","9504538198.40365",""
"Cyprus","1996","9989422835.63363",""
"Cyprus","1995","9914864165.58862",""
"Cyprus","1994","7425703928.57143",""
"Cyprus","1993","6590291048.29211",""
"Cyprus","1992","6912150456.32334",""
"Cyprus","1991","5770197348.48485",""
"Cyprus","1990","5591130217.66965",""
"Cyprus","1989","4563482603.5503",""
"Cyprus","1988","4278792597.23965",""
"Cyprus","1987","3704813885.50548",""
"Cyprus","1986","3090734463.27684",""
"Cyprus","1985","2430411900.19194",""
"Cyprus","1984","2278248953.14058",""
