"Country or Area","Year","Item","Value"
"Albania","2013","Gross Domestic Product (GDP)","4066.42172397122"
"Albania","2012","Gross Domestic Product (GDP)","3903.92265230079"
"Albania","2011","Gross Domestic Product (GDP)","4087.30239759832"
"Albania","2010","Gross Domestic Product (GDP)","3786.16090902454"
"Albania","2009","Gross Domestic Product (GDP)","3822.121008485"
"Albania","2008","Gross Domestic Product (GDP)","4080.75759111473"
"Albania","2007","Gross Domestic Product (GDP)","3353.00637244438"
"Albania","2006","Gross Domestic Product (GDP)","2805.88160692424"
"Albania","2005","Gross Domestic Product (GDP)","2532.4412799226"
"Albania","2004","Gross Domestic Product (GDP)","2253.98836789665"
"Albania","2003","Gross Domestic Product (GDP)","1744.35825221809"
"Albania","2002","Gross Domestic Product (GDP)","1350.62139493837"
"Albania","2001","Gross Domestic Product (GDP)","1227.46496682567"
"Albania","2000","Gross Domestic Product (GDP)","1092.54311341038"
"Albania","1999","Gross Domestic Product (GDP)","1024.07402836632"
"Albania","1998","Gross Domestic Product (GDP)","810.445096772365"
"Albania","1997","Gross Domestic Product (GDP)","692.258576745273"
"Albania","1996","Gross Domestic Product (GDP)","984.325618010354"
"Albania","1995","Gross Domestic Product (GDP)","732.414884698034"
"Albania","1994","Gross Domestic Product (GDP)","571.241104503552"
"Albania","1993","Gross Domestic Product (GDP)","511.495306083479"
"Albania","1992","Gross Domestic Product (GDP)","451.934886808494"
"Albania","1991","Gross Domestic Product (GDP)","474.366456381718"
"Albania","1990","Gross Domestic Product (GDP)","640.019501390955"
"Albania","1989","Gross Domestic Product (GDP)","887.793203424995"
"Albania","1988","Gross Domestic Product (GDP)","757.953629066767"
"Albania","1987","Gross Domestic Product (GDP)","751.764004122214"
"Albania","1986","Gross Domestic Product (GDP)","779.130972021282"
"Albania","1985","Gross Domestic Product (GDP)","776.201165254385"
"Albania","1984","Gross Domestic Product (GDP)","779.342535856187"
"Albania","1983","Gross Domestic Product (GDP)","808.617588668193"
"Albania","1982","Gross Domestic Product (GDP)","818.421594733339"
"Albania","1981","Gross Domestic Product (GDP)","813.448089463785"
"Albania","1980","Gross Domestic Product (GDP)","804.978216967574"
"Albania","1979","Gross Domestic Product (GDP)","913.031605744818"
"Albania","1978","Gross Domestic Product (GDP)","1120.18246068922"
"Albania","1977","Gross Domestic Product (GDP)","1114.24922648361"
"Albania","1976","Gross Domestic Product (GDP)","1110.29530273632"
"Albania","1975","Gross Domestic Product (GDP)","1105.55810206248"
"Albania","1974","Gross Domestic Product (GDP)","1101.41967907906"
"Albania","1973","Gross Domestic Product (GDP)","1097.94060282482"
"Albania","1972","Gross Domestic Product (GDP)","1094.57528694277"
"Albania","1971","Gross Domestic Product (GDP)","1091.51920615624"
"Albania","1970","Gross Domestic Product (GDP)","1088.66539337231"
"Austria","2013","Gross Domestic Product (GDP)","50419.6146717251"
"Austria","2012","Gross Domestic Product (GDP)","48154.254933108"
"Austria","2011","Gross Domestic Product (GDP)","50884.0419233142"
"Austria","2010","Gross Domestic Product (GDP)","46377.0129304199"
"Austria","2009","Gross Domestic Product (GDP)","47489.7404667623"
"Austria","2008","Gross Domestic Product (GDP)","51261.1807723936"
"Austria","2007","Gross Domestic Product (GDP)","46494.7149302445"
"Austria","2006","Gross Domestic Product (GDP)","40386.1755217329"
"Austria","2005","Gross Domestic Product (GDP)","38191.084642869"
"Austria","2004","Gross Domestic Product (GDP)","36600.0853112347"
"Austria","2003","Gross Domestic Product (GDP)","32019.2926448281"
"Austria","2002","Gross Domestic Product (GDP)","26320.5114428953"
"Austria","2001","Gross Domestic Product (GDP)","24467.7746650042"
"Austria","2000","Gross Domestic Product (GDP)","24490.6634036659"
"Austria","1999","Gross Domestic Product (GDP)","27063.3341819179"
"Austria","1998","Gross Domestic Product (GDP)","27179.0474552528"
"Austria","1997","Gross Domestic Product (GDP)","26493.1530384347"
"Austria","1996","Gross Domestic Product (GDP)","29557.2690464889"
"Austria","1995","Gross Domestic Product (GDP)","30114.2821487599"
"Austria","1994","Gross Domestic Product (GDP)","25579.4717982261"
"Austria","1993","Gross Domestic Product (GDP)","24123.8024931701"
"Austria","1992","Gross Domestic Product (GDP)","24957.924487464"
"Austria","1991","Gross Domestic Product (GDP)","22438.6738708716"
"Austria","1990","Gross Domestic Product (GDP)","21651.463282612"
"Austria","1989","Gross Domestic Product (GDP)","17400.4798350655"
"Austria","1988","Gross Domestic Product (GDP)","17486.4947328843"
"Austria","1987","Gross Domestic Product (GDP)","16314.2701001253"
"Austria","1986","Gross Domestic Product (GDP)","13026.6655964081"
"Austria","1985","Gross Domestic Product (GDP)","9137.04221363005"
"Austria","1984","Gross Domestic Product (GDP)","8963.17326170417"
"Austria","1983","Gross Domestic Product (GDP)","9519.21747798809"
"Austria","1982","Gross Domestic Product (GDP)","9415.64996274631"
"Austria","1981","Gross Domestic Product (GDP)","9385.50982377879"
"Austria","1980","Gross Domestic Product (GDP)","10834.6724553791"
"Austria","1979","Gross Domestic Product (GDP)","9747.02499979137"
"Austria","1978","Gross Domestic Product (GDP)","8160.4163885621"
"Austria","1977","Gross Domestic Product (GDP)","6762.77761504527"
"Austria","1976","Gross Domestic Product (GDP)","5626.68113710867"
"Austria","1975","Gross Domestic Product (GDP)","5245.16029761773"
"Austria","1974","Gross Domestic Product (GDP)","4613.39607034747"
"Austria","1973","Gross Domestic Product (GDP)","3880.0636084887"
"Austria","1972","Gross Domestic Product (GDP)","2911.24907108613"
"Austria","1971","Gross Domestic Product (GDP)","2367.41591828546"
"Austria","1970","Gross Domestic Product (GDP)","2047.67258468989"
"Belarus","2013","Gross Domestic Product (GDP)","7663.99288875168"
