"Country or Area","Year(s)","Variant","Value"
"Albania","2100","Const. mortality (Medium)","1831.102"
"Albania","2100","Constant-fertility scenario","2079.559"
"Albania","2100","High variant","3759.501"
"Albania","2100","Instant replacement","3215.345"
"Albania","2100","Low variant","1139.938"
"Albania","2100","Medium variant","2216.616"
"Albania","2100","No change (Const. Fer.&Mor.&Zero migration)","2551.186"
"Albania","2100","Zero migration (Medium)","3242.526"
"Albania","2095","Const. mortality (Medium)","1889.966"
"Albania","2095","Constant-fertility scenario","2153.059"
"Albania","2095","High variant","3690.525"
"Albania","2095","Instant replacement","3210.377"
"Albania","2095","Low variant","1252.617"
"Albania","2095","Medium variant","2272.049"
"Albania","2095","No change (Const. Fer.&Mor.&Zero migration)","2636.221"
"Albania","2095","Zero migration (Medium)","3289.155"
"Albania","2090","Const. mortality (Medium)","1958.384"
"Albania","2090","Constant-fertility scenario","2246.644"
"Albania","2090","High variant","3633.001"
"Albania","2090","Instant replacement","3215.693"
"Albania","2090","Low variant","1390.988"
"Albania","2090","Medium variant","2345.026"
"Albania","2090","No change (Const. Fer.&Mor.&Zero migration)","2724.888"
"Albania","2090","Zero migration (Medium)","3344.538"
"Albania","2085","Const. mortality (Medium)","2045.71"
"Albania","2085","Constant-fertility scenario","2355.014"
"Albania","2085","High variant","3592.961"
"Albania","2085","Instant replacement","3234.063"
"Albania","2085","Low variant","1550.213"
"Albania","2085","Medium variant","2435.418"
"Albania","2085","No change (Const. Fer.&Mor.&Zero migration)","2821.252"
"Albania","2085","Zero migration (Medium)","3408.903"
"Albania","2080","Const. mortality (Medium)","2157.065"
"Albania","2080","Constant-fertility scenario","2468.598"
"Albania","2080","High variant","3574.586"
"Albania","2080","Instant replacement","3266.008"
"Albania","2080","Low variant","1721.16"
"Albania","2080","Medium variant","2538.87"
"Albania","2080","No change (Const. Fer.&Mor.&Zero migration)","2925.139"
"Albania","2080","Zero migration (Medium)","3477.965"
"Albania","2075","Const. mortality (Medium)","2287.091"
"Albania","2075","Constant-fertility scenario","2579.954"
"Albania","2075","High variant","3574.886"
"Albania","2075","Instant replacement","3307.967"
"Albania","2075","Low variant","1893.85"
"Albania","2075","Medium variant","2647.497"
"Albania","2075","No change (Const. Fer.&Mor.&Zero migration)","3031.26"
"Albania","2075","Zero migration (Medium)","3543.54"
"Albania","2070","Const. mortality (Medium)","2422.412"
"Albania","2070","Constant-fertility scenario","2687.563"
"Albania","2070","High variant","3582.098"
"Albania","2070","Instant replacement","3351.526"
"Albania","2070","Low variant","2061.211"
"Albania","2070","Medium variant","2752.246"
"Albania","2070","No change (Const. Fer.&Mor.&Zero migration)","3133.295"
"Albania","2070","Zero migration (Medium)","3596.153"
"Albania","2065","Const. mortality (Medium)","2550.277"
"Albania","2065","Constant-fertility scenario","2793.552"
"Albania","2065","High variant","3582.097"
"Albania","2065","Instant replacement","3386.917"
"Albania","2065","Low variant","2221.375"
"Albania","2065","Medium variant","2847.049"
"Albania","2065","No change (Const. Fer.&Mor.&Zero migration)","3226.441"
"Albania","2065","Zero migration (Medium)","3629.817"
"Albania","2060","Const. mortality (Medium)","2666.455"
"Albania","2060","Constant-fertility scenario","2897.132"
"Albania","2060","High variant","3568.212"
"Albania","2060","Instant replacement","3409.573"
"Albania","2060","Low variant","2376.298"
"Albania","2060","Medium variant","2931.459"
"Albania","2060","No change (Const. Fer.&Mor.&Zero migration)","3306.293"
"Albania","2060","Zero migration (Medium)","3645.028"
"Albania","2055","Const. mortality (Medium)","2776.295"
"Albania","2055","Constant-fertility scenario","2994.048"
"Albania","2055","High variant","3547.921"
"Albania","2055","Instant replacement","3424.809"
"Albania","2055","Low variant","2529.808"
"Albania","2055","Medium variant","3011.587"
"Albania","2055","No change (Const. Fer.&Mor.&Zero migration)","3368.691"
"Albania","2055","Zero migration (Medium)","3649.863"
"Albania","2050","Const. mortality (Medium)","2888.1"
"Albania","2050","Constant-fertility scenario","3080.663"
"Albania","2050","High variant","3536.042"
"Albania","2050","Instant replacement","3442.155"
"Albania","2050","Low variant","2682.687"
"Albania","2050","Medium variant","3094.079"
"Albania","2050","No change (Const. Fer.&Mor.&Zero migration)","3413.349"
"Albania","2050","Zero migration (Medium)","3653.233"
"Albania","2045","Const. mortality (Medium)","3004.946"
"Albania","2045","Constant-fertility scenario","3157.997"
"Albania","2045","High variant","3542.398"
"Albania","2045","Instant replacement","3468.505"
"Albania","2045","Low variant","2829.922"
"Albania","2045","Medium variant","3179.6"
"Albania","2045","No change (Const. Fer.&Mor.&Zero migration)","3445.958"
"Albania","2045","Zero migration (Medium)","3657.481"
"Albania","2040","Const. mortality (Medium)","3114.225"
"Albania","2040","Constant-fertility scenario","3224.234"
"Albania","2040","High variant","3556.069"
"Albania","2040","Instant replacement","3495.892"
"Albania","2040","Low variant","2957.114"
"Albania","2040","Medium variant","3254.704"
"Albania","2040","No change (Const. Fer.&Mor.&Zero migration)","3472.311"
